Sr No.,OL,MOF_name,LCD,
1,B(c1c(c(C)c(C(=O)[O])c(C)c1C)C)(c1c(c(c(c(C)c1C)C(=O)[O])C)C)c1c(C)c(C)c(C(=O)[O])c(c1C)C,CIMTAV,#N/A,#N/A
2,Brc1c(c2ccc(C(=O)[O])cc2)c(c2ccc(C(=O)[O])cc2)c(Br)c(c2ccc(C(=O)[O])cc2)c1c1ccc(C(=O)[O])cc1,FUNCEX,#N/A,#N/A
3,Brc1c(c(c(Br)c(c1c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O],FUNBEW,#N/A,#N/A
4,Brc1ccc(C2=NC(=C([N]2)C(=O)[O])C(=O)[O])cc1,PEWKOT,#N/A,#N/A
5,Brc1cccc(Br)c1/C/1=C/2\C=CC(=N2)/C(=C/2\[N]/C(=C(\C3=N/C(=C(/C4=CC=C1[N]4)\c1cc(C(=O)[O])cc(C(=O)[O])c1)/C=C3)/c1c(Br)cccc1Br)/C=C2)/c1cc(C(=O)[O])cc(C(=O)[O])c1,ADARAA,12.29205,4.93395
6,Brc1c(cc(cc1)C(=O)[O])C(=O)[O],j.jssc.2016.09.008,#N/A,#N/A
7,Brc1cc(cc(c1)C(=O)[O])C(=O)[O],NAGKEO,8.21773,4.1748
8,Brc1cc(cc(C(=O)[O])c1)C(=O)[O],ja406030p,#N/A,#N/A
9,Brc1cc(cnc1)C(=O)[O],HAZNON,4.92321,2.61042
10,Brc1c(c(C(=O)[O])c(Br)c(Br)c1C(=O)[O])Br,TUNJET,#N/A,#N/A
11,Brc1cc(C(=O)[O])ccc1C#Cc1c(Br)cc(cc1)C(=O)[O],AFITUF,#N/A,#N/A
12,Brc1cc(C(=O)[O])cc(C(=O)[O])c1,KEYDEZ,#N/A,#N/A
13,Brc1c(C(=O)[O])c(c(Br)c(C(=O)[O])c1Br)Br,FAZPON,#N/A,#N/A
14,Brc1cncc(c1)C(=O)[O],HAZNED,4.86872,2.92818
15,c12c3c4c(C(=O)[O])cc(C(=O)[O])c3ccc2c(cc(C(=O)[O])c1cc4)C(=O)[O],LEVLEF,19.74888,4.86344
16,c12c3c(cc(cc3)C(=O)[O])[nH]c1cc(C(=O)[O])cc2,WIJXEU,#N/A,#N/A
17,c12-c3ccc(C(=O)[O])cc3C(c1cc(C(=O)[O])cc2)(CCC)CCC,MOYNEU,4.51521,3.3653
18,c12-c3c(S(=O)(=O)c2cc(C(=O)[O])cc1)cc(cc3)C(=O)[O],SOQSEY,10.25301,4.93119
19,c12CCc2c(c2c(CC2)c1C(=O)[O])C(=O)[O],EDUTIG,15.03522,5.6073
20,c12c(cccc1)c(c1ccccc1c2C(=O)[O])C(=O)[O],TIRQOB,5.37808,4.46615
21,c12c(cccc1)cc(c(O)c2Cc1c2ccccc2cc(C(=O)[O])c1O)C(=O)[O],NORJEL,#N/A,#N/A
22,c12c(ccc(c1)/C=C/C(=O)[O])c(c(OCC)cc2/C=C/C(=O)[O])c1c(OCC)cc(c2c1ccc(c2)/C=C/C(=O)[O])/C=C/C(=O)[O],XAHPED,12.36915,9.94297
23,c12c(cccc1)c(c(O)c(C(=O)[O])c2)Cc1c(O)c(C(=O)[O])cc2c1cccc2,JORRAL,#N/A,#N/A
24,c12ccccc1c(C(=O)[O])ccc2C(=O)[O],SARMEE,4.08703,3.45169
25,c12ccccc1[C@@H]1c3c([C@H]2c2c(ccc(c12)C(=O)[O])C(=O)[O])cccc3,EPECEJ,6.93285,4.38708
26,c12ccccc1nc1ccccc1c2C(=O)[O],INURIS,5.07773,3.09909
27,c12c(cc(cc2)c2cc(cc(c2)c2cc3c(cc2)cc(C(=O)[O])cc3)c2cc3ccc(C(=O)[O])cc3cc2)ccc(c1)C(=O)[O],BINSAU,21.88013,6.26497
28,c12cc(ccc2-c2c(S1(=O)=O)cc(C(=O)[O])cc2)C(=O)[O],PUDSIR01,5.89858,4.87276
29,c12ccccc2c(c(O)c(c1)C(=O)[O])Cc1c(O)c(cc2ccccc12)C(=O)[O],JORVET,#N/A,#N/A
30,c12ccc(C(=O)[O])cc1ccc(c1cc(c3ccc4cc(C(=O)[O])ccc4c3)cc(c3ccc4cc(C(=O)[O])ccc4c3)c1)c2,BINRUN,21.10968,6.38278
31,c12cc(C(=O)[O])sc2cc(s1)C(=O)[O],VEBHUG,17.28275,10.00873
32,C12=C[CH]C(=CC2=NN=N1)C(=O)[O],ESURER04,6.9676,6.06182
33,c12c(C(=O)[O])ccc(C(=O)[O])c1cccc2,QOVSOL,#N/A,#N/A
34,c12[C@H]3c4c(c(C(=O)[O])ccc4C(=O)[O])[C@H](c4c3cccc4)c1cccc2,EPECIN,6.23378,2.22766
