Name,CO,C1CCOCC1,C1=CC=NC=C1,CS,C1CCOC1,C[NH3+],C,C1CC1,C#C,CC,[NH4+],CF,C1CCCC1,C[O-],C=C,[NH2+]=O,CBr,C=O,C1=CC=CC=C1,N,NN,[NH3+][O-],CN,CCl,ExpperMGS
4-Methoxyphenyl ß-D-galactopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78.3
4-Methoxyphenyl ß-D-glucopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.3
4-Methoxyphenyl α-D-galactopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76.4
4-Methoxyphenyl α-D-glucopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.2
4-Bromophenyl ß-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10
4-Chlorophenyl β-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14.1
4-Fluorophenyl ß-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23.3
4-Hydroxyphenyl ß-D-glucopyranoside,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61.8
4-Methylphenyl ß-D-glucopyranoside,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62.3
Phenyl ß-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64.4
4-(Methoxycarbonyl)phenyl ß-D-glucopyranoside,8,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,49.1
4-Trifluoromethylphenyl ß-D-glucopyranoside,6,1,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,33.2
4-Nitrophenyl ß-D-glucopyranoside,6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,60.9
4-Bromophenyl ß-D-galactopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6.2
4-Chlorophenyl ß-D-galactopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21.1
4-Fluorophenyl β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,79.7
4-Hydroxyphenyl ß-D-galactopyranoside,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81.1
4-Methylphenyl β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88.3
Phenyl β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.1
Methyl 4-(β-D-galactopyranosyloxy)benzoate,8,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29.9
4-Acetamidophenyl β-D-galactopyranoside,6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,81.9
4-(Trifluoromethyl)phenyl β-D-galactopyranoside,6,1,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,57.9
4-Nitrophenyl β-D-galactopyranoside,6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,45.6
3-Methylphenyl ß-D-glucopyranoside,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.1
3-Methoxyphenyl ß-D-glucopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80.7
3-Hydroxyphenyl ß-D-glucopyranoside,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.1
3-Bromophenyl β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,35.9
2-Bromophenyl β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,71.2
3-Acetamidophenyl ß-D-galactopyranoside,6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,72.1
4-Trifluoromethoxyphenyl ß-D-glucopyranoside,8,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,57.4
Phenyl alpha-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69.7
4-Fluorophenyl alpha-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,80.7
4-Bromophenyl alpha-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,75.4
4-Ethoxyphenyl β-D-glucopyranoside,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31.8
4-Propoxyphenyl β-D-glucopyranoside,8,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39.7
2-Methoxyphenyl β-D-glucopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54.4
4-Trifluoromethoxyphenyl ß-D-galactopyranoside,8,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,72.3
2-Acetamidophenyl β-D-galactopyranoside,6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,27.1
Ethyl 4-(β-D-galactopyranosyloxy)benzoate,8,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,76.3
Isopropyl 4-(ß-D-glucopyranosyloxy)benzoate,8,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35.1
Ethyl 4-(β-D-glucopyranosyloxy)benzoate,8,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.8
4-Pentanamidophenyl β-D-glucopyranoside,6,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,0,17.8
Methyl 3-(β-D-galactopyranosyloxy)benzoate,8,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,56.9
4-Methoxyphenyl ß-D-xylopyranoside,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47.1
4-Methoxyphenyl ß-D-mannopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77.7
4-Methoxyphenyl α-D-Mannopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73.8
4-(β-D-Glucopyranosyloxy)-benzoic acid,7,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,73.3
4-(β-D-Galactopyranosyloxy)-benzoic acid,7,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,82.5
Benzyl β-D-Glucopyranoside,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71.9
N-Phenyl ß-D-glucopyranoside,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,55.3
S-Phenyl-1-thio-β-D-glucopyranoside,4,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55.3
4-Methoxybenzyl ß-D-glucopyranoside,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69.1
N-(4-Methoxyphenyl)-1-ß-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,62.1
4-Methoxyphenyl-1-thio-ß-D-glucopyranoside,6,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
"1,4-Bis-(ß-D-glucopyranosyl)benzene",8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34.1
"1,4-Bis-(ß-D-galactopyranosyl)benzene",8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.2
1-O-(ß-D-Glucopyranosyl)-4-O-(ß-D-galactopyranosyl)benzene,8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58
"1,3-Bis-(ß-D-glucopyranosyl)benzene",8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61
6-O-(4-Methoxyphenyl)-D-glucopyranoside,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82.5
(4-Pyridinyl) β-D-glucopyranoside,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6
4-Methoxyphenyl-6-O-(α-D-galactopyranosyl) β-D-glucopyranoside,13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.1
4-Methoxyphenyl-6-O-(α-D-glucopyranosyl) ß-D-glucopyranoside,13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.8
4-Methoxyphenyl-6-O-(ß-D-glucopyranosyl) ß-D-glucopyranoside,13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61.6
4-Methoxyphenyl-4-O-(ß-D-galactopyranosyl) ß-D-glucopyranoside,13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44.5
2-Amino β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,83.9
2-Amino-3-(β-D-galactopyranosyloxy)-benzoic acid,7,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,40.5
2-Amino-3-(β-D-glucopyranosyloxy)-benzoic acid,7,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,88.6
4-Aminophenyl β-D-glucopyranoside,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,88.8
4-Acetamidophenyl β-D-glucopyranoside,6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,70.2
"N-(2,2,3,3,4,4,4-Heptafluoro)butyl-D-gluconamide",5,0,0,0,0,0,8,0,0,8,0,7,0,0,0,0,0,1,0,0,0,0,2,0,32.8
N-Phenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,0,65.7
N-3-Fluorophenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,2,0,9.4
N-4-Fluorophenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,2,0,90.3
N-Benzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,38.1
N-2-Fluorobenzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0,2,0,35.4
N-3-Fluorobenzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0,2,0,30.7
N-4-Fluorobenzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0,2,0,19.7
N-2-Phenylethyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,2,0,29.7
N-2-(2-Fluoro)phenylethyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,2,0,20.6
