Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds,ExpperMGS
4-Methoxyphenyl ß-D-galactopyranoside,0.006627151,0.017478382,0.080797963,0.141365595,0.190172875,0.23645049,0.279889835,0.012112623,0.229863411,0.031050156,78.3
4-Methoxyphenyl ß-D-glucopyranoside,0.005803331,0.016938498,0.078495332,0.137489405,0.185898731,0.231458534,0.277254563,0.011884135,0.223835058,0.030401887,23.3
4-Methoxyphenyl α-D-galactopyranoside,0.007302765,0.0173313,0.079159098,0.138697873,0.187337875,0.231358416,0.276567163,0.012397552,0.221134569,0.030087879,76.4
4-Methoxyphenyl α-D-glucopyranoside,0.006243347,0.015850872,0.079331285,0.139852485,0.187918868,0.232593312,0.278291479,0.010828282,0.222235768,0.027193132,63.2
4-Bromophenyl ß-D-glucopyranoside,0.009845105,0.021837974,0.074806731,0.133233818,0.184019271,0.227873039,0.273782375,0.015030343,0.21644307,0.025607831,10
4-Chlorophenyl β-D-glucopyranoside,0.00858623,0.021423029,0.078570564,0.136056819,0.186262231,0.230032487,0.2761171,0.014201111,0.213145472,0.025969635,14.1
4-Fluorophenyl ß-D-glucopyranoside,0.007112637,0.018100653,0.072206247,0.132821121,0.183090877,0.225280618,0.271071096,0.01219552,0.219548371,0.027587309,23.3
4-Hydroxyphenyl ß-D-glucopyranoside,0.009675018,0.020409094,0.073763302,0.129876475,0.180330635,0.226623471,0.272635961,0.01650665,0.219964634,0.033822114,61.8
4-Methylphenyl ß-D-glucopyranoside,0.006677949,0.017006217,0.08097904,0.144419441,0.192585263,0.23476083,0.279345671,0.012088206,0.228450529,0.028194977,62.3
Phenyl ß-D-glucopyranoside,0.007532603,0.017709509,0.07499666,0.136195944,0.185713697,0.22792456,0.272733787,0.013125006,0.22095967,0.025900106,64.4
4-(Methoxycarbonyl)phenyl ß-D-glucopyranoside,0.005101228,0.014205635,0.07621275,0.137006762,0.185099077,0.230546221,0.27464651,0.009944521,0.219204303,0.026903779,49.1
4-Trifluoromethylphenyl ß-D-glucopyranoside,0.007171341,0.015115902,0.066960456,0.127294773,0.175653359,0.219504665,0.262938638,0.011682584,0.213566568,0.023951382,33.2
4-Nitrophenyl ß-D-glucopyranoside,0.006796824,0.015106328,0.066686964,0.128884683,0.177748806,0.218908801,0.260697931,0.011409489,0.21739779,0.025721106,60.9
4-Bromophenyl ß-D-galactopyranoside,0.010159407,0.022985141,0.077096408,0.13391395,0.184380753,0.225994371,0.271689807,0.01606508,0.215307496,0.025860306,6.2
4-Chlorophenyl ß-D-galactopyranoside,0.009282964,0.022810717,0.078557264,0.136641261,0.186267723,0.228343029,0.273064657,0.015181356,0.218896541,0.026027675,21.1
4-Fluorophenyl β-D-galactopyranoside,0.007358431,0.018295752,0.07405644,0.133991873,0.182037526,0.220952425,0.265264539,0.012052447,0.215181331,0.026857441,79.7
4-Hydroxyphenyl ß-D-galactopyranoside,0.009670667,0.021044452,0.074694932,0.130683194,0.178980396,0.224728065,0.27047881,0.016759284,0.222735015,0.032154377,81.1
4-Methylphenyl β-D-galactopyranoside,0.006925337,0.01810691,0.080308774,0.140303412,0.191275185,0.234827673,0.281450459,0.012904885,0.227988592,0.028514859,88.3
