OL,MOF_name,BalabanJ,BertzCT,HallKierAlpha,MolLogP,ExactMolWt,FpDensityMorgan1,MaxPartialCharge,FractionCSP3,NHOHCount,NOCount,Asphericity,CalcChi0n,CalcChi1n,CalcChi1v,Eccentricity,CalcFractionCSP3,CalcHallKierAlpha,InertialShapeFactor,Kappa1,Kappa2,Kappa3,NPR1,NPR2,NumAliphaticCarbocycles,NumAliphaticHeterocycles,AliphaticRings,AmideBonds,AromaticCarbocycles,AromaticHeterocycles,AromaticRings,NumHBA,NumHBD,Heteroatoms,Heterocycles,LipinskiHBA,LipinskiHBD,Rings,Rotable bonds,Saturated carbocyles,Saturated Heterocycles,Saturated Rings,PBF,PMI1,SpherocityIndex,TPSA
B(c1c(c(C)c(C(=O)[O])c(C)c1C)C)(c1c(c(c(c(C)c1C)C(=O)[O])C)C)c1c(C)c(C)c(C(=O)[O])c(c1C)C,CIMTAV,2.7298212879730066,1363.2596077977746,-3.865064935064934,4.615940000000005,539.260494272,0.325,0.3863858599677679,0.36363636363636365,0,6,0.15417476459824445,25.526840011972805,13.340770275176029,13.340770275176029,0.8167747473707784,0.36363636363636365,-3.865064935064934,0.00010244890729901691,30.67323391922677,10.603899907238024,4.414918191484762,0.5769566812659346,0.5772084548127201,0,0,0,0,3,0,3,3,0,7,0,6,0,3,6,0,0,0,1.0101730811124014,5634.110407132267,0.2292027723362251,110.91
Brc1c(c2ccc(C(=O)[O])cc2)c(c2ccc(C(=O)[O])cc2)c(Br)c(c2ccc(C(=O)[O])cc2)c1c1ccc(C(=O)[O])cc1,FUNCEX,1.9038672117953233,1662.235020104656,-5.059999999999999,8.162400000000005,709.9211916720001,0.3181818181818182,0.385831249123105,0.0,0,8,0.3088931141705193,22.259519576763378,12.796426455048357,14.382422994163061,0.9387961991815418,0.0,-5.059999999999999,0.00011369772813102683,30.39950556760888,12.276273069671094,5.769565882502081,0.3444730706489128,0.7010576316799291,0,0,0,0,5,0,5,4,0,10,0,8,0,5,8,0,0,0,0.6216460889033816,6165.977484369965,0.0749806547785261,147.88
Brc1c(c(c(Br)c(c1c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O],FUNBEW,1.9038672117953228,1662.2350201046556,-5.06,8.162400000000005,709.9211916720001,0.3181818181818182,0.385831249123105,0.0,0,8,0.3088831716932492,22.259519576763378,12.796426455048357,14.382422994163061,0.9386899349033632,0.0,-5.06,0.0001132622000093594,30.39950556760888,12.276273069671094,5.769565882502081,0.344762535828822,0.699619039227165,0,0,0,0,5,0,5,4,0,10,0,8,0,5,8,0,0,0,0.6366068825647438,6176.986136322199,0.07262135693139396,147.88
Brc1ccc(C2=NC(=C([N]2)C(=O)[O])C(=O)[O])cc1,PEWKOT,2.362447534589161,589.5657054013977,-2.15,0.9395,306.935443708,0.9444444444444444,0.4066141911855476,0.0,0,6,0.745996135540778,8.714785902623099,4.721273213478175,5.514271483035527,0.9956341985530307,0.0,-2.15,0.0018860833079745922,12.3106890964964,4.612891230683902,2.2544320783499967,0.09334100209267229,0.9121583723146306,0,1,1,0,1,0,1,3,0,7,1,6,0,2,3,0,0,0,0.1124506566332224,483.62570648810305,0.012419527511883658,100.4
Brc1cccc(Br)c1/C/1=C/2\C=CC(=N2)/C(=C/2\[N]/C(=C(\C3=N/C(=C(/C4=CC=C1[N]4)\c1cc(C(=O)[O])cc(C(=O)[O])c1)/C=C3)/c1c(Br)cccc1Br)/C=C2)/c1cc(C(=O)[O])cc(C(=O)[O])c1,ADARAA,1.3940636928335755,3165.5339382896664,-6.719999999999999,10.559599999999987,1095.8014620000004,0.390625,0.3858792588292332,0.0,0,12,0.13170705345063027,32.11370398154017,18.772646386815918,21.944639465045306,0.8331308036536332,0.0,-6.719999999999999,3.4529666716491166e-05,42.5746312716263,16.766513854884963,7.716778773845797,0.5530760020136936,0.6656822998083116,0,5,5,0,4,0,4,6,0,16,5,12,0,9,8,0,0,0,0.9722823242569235,19278.561396898327,0.1523367298339536,200.8
Brc1c(cc(cc1)C(=O)[O])C(=O)[O],j.jssc.2016.09.008,3.267052212361692,372.4068180287228,-1.36,1.5904999999999998,241.921470676,1.0769230769230769,0.38699780333025596,0.0,0,4,0.44925881897337927,6.243008442433557,3.243512689144925,4.036510958702277,0.970206374467165,0.0,-1.36,0.0016343645901883367,9.725910652920962,3.5709934356508874,2.059141284464558,0.24227998461135675,0.7577200155157798,0,0,0,0,1,0,1,2,0,5,0,4,0,1,2,0,0,0,1.2684111647577758e-05,463.6174939573695,2.3216201988271766e-10,73.94
Brc1cc(cc(c1)C(=O)[O])C(=O)[O],NAGKEO,3.263407613099896,340.15681802872274,-1.36,1.5904999999999996,241.921470676,0.9230769230769231,0.38589750954846214,0.0,0,4,0.27261225742011747,6.243008442433557,3.2375296250012173,4.03052789455857,0.9106486105780945,0.0,-1.36,0.0006946200955055981,9.725910652920962,3.5709934356508874,2.2860056365009487,0.4131816889120161,0.586818311088751,0,0,0,0,1,0,1,2,0,5,0,4,0,1,2,0,0,0,1.5651288879519822e-06,844.8046851590427,1.4292013715192523e-12,73.94
Brc1cc(cc(C(=O)[O])c1)C(=O)[O],ja406030p,3.263407613099896,340.15681802872274,-1.3599999999999999,1.5904999999999996,241.921470676,0.9230769230769231,0.38589750954846214,0.0,0,4,0.2726122584959682,6.243008442433557,3.2375296250012173,4.03052789455857,0.9106486115151473,0.0,-1.3599999999999999,0.0006946200748493014,9.725910652920962,3.5709934356508874,2.2860056365009487,0.41318168684676043,0.5868183131539303,0,0,0,0,1,0,1,2,0,5,0,4,0,1,2,0,0,0,1.647455670754626e-06,844.8047132545674,1.8235774698143174e-12,73.94
Brc1cc(cnc1)C(=O)[O],HAZNON,3.069899265759275,261.67965837655686,-0.8999999999999999,1.4147999999999996,199.934715436,1.5,0.3874270735353187,0.0,0,3,0.5715307863725296,4.873725457005788,2.518328844842051,3.3113271143994027,0.9849882982697729,0.0,-0.8999999999999999,0.003679743300055391,7.20989010989011,2.78888737108121,1.5394848785035837,0.17262112348034653,0.8273788765339914,0,0,0,0,0,1,1,2,0,4,1,3,0,1,1,0,0,0,5.6883851294198964e-06,224.84690073939043,3.1728920450666584e-11,49.86
Brc1c(c(C(=O)[O])c(Br)c(Br)c1C(=O)[O])Br,TUNJET,3.7667964233064803,423.2970570439153,0.07999999999999985,3.8780000000000006,475.65300688,0.625,0.3882002528173644,0.0,0,4,0.25518139971471904,7.144851053892361,3.5724255269461804,6.744418605175589,0.905419415831077,0.0,0.07999999999999985,0.0002971604190846356,14.142189054726366,5.155771790598337,2.34071977164321,0.42451817562515637,0.598987688398543,0,0,0,0,1,0,1,2,0,8,0,4,0,1,2,0,0,0,0.2539346242784648,2015.7048177669406,0.0789124892206667,73.94
